"length_class","27.7.d","27.4.a"
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,6.71340993808004e-05,0
7,0,0
8,0,0
9,0.000931371674231062,0
10,0.00127793891162075,0
11,0.00457563735438132,0
12,0.00391524143191084,0
13,0.0102420557300022,0
14,0.00937044911360987,0
15,0.00207043894469052,0
16,0.00427605492496894,0
17,0.028478834623029,0
18,0.0745397745051543,0
19,0.0758417129738208,0
20,0.0973353135368107,0
21,0.135667143929939,0
22,0.133725126190653,0
23,0.107031938919747,0
24,0.111554691879939,0.000221676600385598
25,0.0842988244975612,0.00228074705669256
26,0.0602813514769716,0.00647748184574196
27,0.0286533002931144,0.0184390663667454
28,0.0133518037558766,0.0221259991635979
29,0.0047331061579035,0.0370739254034819
30,0.00326503869966727,0.0772663602536816
31,0.00305703336789138,0.108700966513341
32,0.000679117860719233,0.131309027909606
33,0.000441120389751891,0.206708151845275
34,0.000245314848720463,0.178331685499831
35,0,0.105762270076822
36,6.77014785498502e-05,0.0310435813927441
37,2.54284293835054e-05,0.0311971817466759
38,0,0.0180617781507509
39,0,0.0136607119868079
40,0,0.00591039989613118
41,0,0.00364395219402604
42,0,0.0017850360976622
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
