"Species","Season","length","canum","Fleet","FishingArea","country"
,,5,0,,,"NLD"
,,6,0,,,"NLD"
,,7,0,,,"NLD"
,,8,0,,,"NLD"
,,9,0,,,"NLD"
,,10,0,,,"NLD"
,,11,0,,,"NLD"
,,12,0,,,"NLD"
,,13,0,,,"NLD"
,,14,0,,,"NLD"
,,15,0,,,"NLD"
,,16,0,,,"NLD"
,,17,0,,,"NLD"
,,18,0,,,"NLD"
,,19,0,,,"NLD"
,,20,0,,,"NLD"
,,21,0,,,"NLD"
,,22,0,,,"NLD"
,,23,0,,,"NLD"
,,24,0,,,"NLD"
,,25,0,,,"NLD"
,,26,0,,,"NLD"
"HOM",3,27,8852.599,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
"HOM",3,28,12351.48337,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
"HOM",3,29,31827.20117,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
"HOM",3,30,52314.64457,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
"HOM",3,31,89938.19032,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
"HOM",3,32,80938.048,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
"HOM",3,33,58659.00718,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
"HOM",3,34,32206.59827,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
"HOM",3,35,17494.42183,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
"HOM",3,36,14037.6927,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
"HOM",3,37,3836.126233,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
"HOM",3,38,3077.332033,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
,,39,0,,,"NLD"
,,40,0,,,"NLD"
,,41,0,,,"NLD"
"HOM",3,42,1264.657,"OTM_SPF_32-69_0_0_all","27.4.a","NLD"
,,43,0,,,"NLD"
,,44,0,,,"NLD"
,,45,0,,,"NLD"
,,46,0,,,"NLD"
,,47,0,,,"NLD"
,,48,0,,,"NLD"
,,49,0,,,"NLD"
,,50,0,,,"NLD"
,,51,0,,,"NLD"
,,52,0,,,"NLD"
,,53,0,,,"NLD"
,,54,0,,,"NLD"
,,55,0,,,"NLD"
,,56,0,,,"NLD"
,,57,0,,,"NLD"
,,58,0,,,"NLD"
,,59,0,,,"NLD"
,,60,0,,,"NLD"
