"period","subarea","spawner","sex","lengthgrp","N","meanweight","NA","meancondfact","SoP"
"February","6.a","N","U",25.25,25.5042719655542,0.139,838.289948813051,NA,3.54509380321204
"February","6.a","N","U",26.25,76.5128158966627,0.138333333333333,743.342938577931,NA,10.584272865705
"February","6.a","N","U",27.25,93.7657057557141,0.1534,737.610818933133,NA,14.3836592629265
"February","6.a","N","U",28.25,75.0125646045713,0.18225,787.286776498032,NA,13.6710398991831
"February","6.a","N","U",29.25,37.5062823022856,0.193,751.78085393346,NA,7.23871248434113
"February","6.a","N","U",30.25,56.2594234534285,0.213,750.723628849992,NA,11.9832571955803
"February","6.a","N","U",31.25,93.7657057557141,0.2734,874.715553475947,NA,25.6355439536122
"February","6.a","N","U",34.25,18.7531411511428,0.335,815.807177276726,NA,6.28230228563284
"February","6.a","N","U",35.25,18.7531411511428,0.356,795.728547041024,NA,6.67611824980684
"February","7.e","N","U",18.25,37.6255417338441,0.0441621621621622,694.924288788423,NA,1.66162527548922
"February","7.e","N","U",19.25,17.2874110669014,0.052,701.293008985317,NA,0.89894537547887
"February","7.e","N","U",20.25,34.5748221338027,0.0625,725.468289781054,NA,2.16092638336267
"February","7.e","N","U",21.25,51.8622332007041,0.0663333333333333,667.446472218379,NA,3.44019480231337
"February","7.e","N","U",22.25,86.4370553345068,0.0802,704.087791495199,NA,6.93225183782744
"February","7.e","N","U",23.25,17.2874110669014,0.087,670.371690280574,NA,1.50400476282042
"February","7.e","N","U",24.25,107.329862292366,0.109939707149009,746.854343569998,NA,11.7998136287663
"February","7.e","N","U",25.25,196.170514887512,0.117737983034873,710.545306515182,NA,23.0967207537681
"February","7.e","N","U",26.25,256.445338500451,0.129520547945205,696.260287735129,NA,33.2149407605721
"February","7.e","N","U",27.25,55.4676290916621,0.139,668.369646882044,NA,7.71000044374103
"February","7.e","N","U",28.25,18.4892096972207,0.204,881.242811553352,NA,3.77179877823302
"February","7.e","N","U",29.25,18.4892096972207,0.206,802.418942540377,NA,3.80877719762746
"February","8.a","N","U",32.25,3.28795533439138,0.273,795.266272189349,NA,0.897611806288847
"February","8.a","N","U",33.25,25.6397286172251,0.290633785450062,777.577915723233,NA,7.4517713859364
"February","8.a","N","U",34.25,27.0624015984521,0.322523364485981,788.613604700835,NA,8.72825681460358
"February","8.a","N","U",35.25,43.8815577320696,0.339440922190202,759.294908510775,NA,14.8951964237163
"February","8.a","N","U",36.25,72.4614771771639,0.391246073298429,796.023481407411,NA,28.3502684109691
"February","8.a","N","U",37.25,10.2432454648347,0.420950617283951,781.274074074074,NA,4.31190050141319
"February","8.a","N","U",38.25,44.6403166553907,0.465167138810198,818.998845647522,NA,20.7652083741693
"February","8.a","N","U",39.25,17.198535595278,0.509272058823529,829.68419672007,NA,8.75873363135698
"February","8.a","N","U",40.25,3.28795533439138,0.649,976.966398904112,NA,2.13388301202001
"February","8.a","N","U",41.25,6.9552901304433,0.533,745.732239452803,NA,3.70716963952628
"January","7.d","N","U",19.25,4.70690368083472,0.06,809.184241136904,NA,0.282414220850083
"January","7.d","N","U",20.25,26.8534889483519,0.0715895131086142,832.423043360203,NA,1.92242819908007
"January","7.d","N","U",21.25,42.7845475604079,0.0778551951104842,781.482552898906,NA,3.33099929802935
"January","7.d","N","U",22.25,53.3910051959071,0.091202439445552,800.156770527141,NA,4.86938991831687
"January","7.d","N","U",23.25,82.1269203670429,0.113976660645583,870.98784882513,NA,9.36055213254124
"January","7.d","N","U",24.25,111.506514674019,0.129403177919921,872.532971627021,NA,14.4292973575924
"January","7.d","N","U",25.25,107.819607748807,0.143880973850316,857.493486072873,NA,15.5131901630574
"January","7.d","N","U",26.25,86.3653128018686,0.166125691438775,889.931437231037,NA,14.3474973055365
"January","7.d","N","U",27.25,91.2364887621627,0.189046124308732,902.913431839052,NA,17.2479045960241
