"length_class","27.7.d"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.00516295742092387
16,0.0134761682811755
17,0.0490774427749746
18,0.123186814232751
19,0.224381270005901
20,0.15479094644461
21,0.0886440606593057
22,0.0644322693707886
23,0.0695420123203759
24,0.0705551062530032
25,0.0626048065502544
26,0.0390096685935401
27,0.0177525062718086
28,0.00920927621973625
29,0.00570901865592648
30,0.00246567594492461
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
