Fleet;Month;ICESRect;Tonnes
TrawlPlus;2;28E9;4.356
TrawlPlus;3;28E9;0.604
TrawlPlus;4;28E9;3.968
TrawlPlus;1;29E9;0.623
TrawlPlus;2;29E9;0.469
TrawlPlus;3;29E9;0.372
TrawlPlus;11;29E9;1.064
TrawlPlus;12;29E9;0.199
OTB_DEF_32-69_0_0_all;1;29F0;0.074
TrawlPlus;1;29F0;0.641
TrawlPlus;2;29F0;0.857
OTB_DEF_32-69_0_0_all;3;29F0;0.002
TrawlPlus;3;29F0;1.814
TrawlPlus;4;29F0;0.266
TrawlPlus;10;29F0;0.02
TrawlPlus;11;29F0;0.199
OTB_DEF_32-69_0_0_all;12;29F0;0.024
TrawlPlus;12;29F0;0.216
TrawlPlus;5;29F1;0.002
OTB_DEF_32-69_0_0_all;12;29F1;0.003
TrawlPlus;3;30E9;0.817
TrawlPlus;5;30E9;0.002
TrawlPlus;1;30F0;0.024
TrawlPlus;2;30F0;0.065
TrawlPlus;4;30F0;0.065
TrawlPlus;5;30F0;0.004
OTB_CRU_70-99_0_0_all;10;30F0;0.011
TrawlPlus;11;30F0;0.82
OTB_CRU_70-99_0_0_all;1;30F1;0.003
OTB_DEF_32-69_0_0_all;1;30F1;0.009
TrawlPlus;1;30F1;0.109
TrawlPlus;2;30F1;0.118
TrawlPlus;3;30F1;0
TrawlPlus;4;30F1;1.096
TrawlPlus;5;30F1;0.031
OTB_DEF_32-69_0_0_all;11;30F1;0.328
OTB_DEF_32-69_0_0_all;12;30F1;0.045
TrawlPlus;12;30F1;0.09
OTB_CRU_70-99_0_0_all;1;31F1;0.063
OTB_DEF_32-69_0_0_all;1;31F1;0.609
TrawlPlus;1;31F1;3.531
OTB_DEF_32-69_0_0_all;2;31F1;0.091
TrawlPlus;2;31F1;0.51
OTB_DEF_32-69_0_0_all;3;31F1;0.005
TrawlPlus;3;31F1;0.117
TrawlPlus;4;31F1;0.035
TrawlPlus;9;31F1;0.067
OTB_CRU_70-99_0_0_all;10;31F1;0.124
OTB_DEF_32-69_0_0_all;10;31F1;0.08
OTB_CRU_70-99_0_0_all;11;31F1;0.007
OTB_DEF_32-69_0_0_all;11;31F1;0.104
TrawlPlus;11;31F1;1.489
OTB_CRU_70-99_0_0_all;12;31F1;0.194
OTB_DEF_32-69_0_0_all;12;31F1;0.452
TrawlPlus;12;31F1;0.107
OTB_DEF_32-69_0_0_all;1;31F2;0.01
TrawlPlus;1;31F2;0.053
TrawlPlus;2;31F2;0.1
TrawlPlus;3;31F2;0.022
TrawlPlus;4;31F2;0.041
TrawlPlus;5;31F2;0.009
OTB_CRU_70-99_0_0_all;6;31F2;0.207
TrawlPlus;6;31F2;0.336
TrawlPlus;7;31F2;0.35
TrawlPlus;8;31F2;0.02
TrawlPlus;9;31F2;1.123
OTB_CRU_70-99_0_0_all;10;31F2;0.013
TrawlPlus;10;31F2;0.366
TrawlPlus;11;31F2;0.067
OTB_DEF_32-69_0_0_all;12;31F2;0.204
TrawlPlus;12;31F2;0.24
TrawlPlus;4;31F3;0.008
TrawlPlus;5;31F3;0.002
OTB_CRU_70-99_0_0_all;6;31F3;0.058
TrawlPlus;6;31F3;0.044
TrawlPlus;7;31F3;0.374
TrawlPlus;10;31F3;0.002
TrawlPlus;1;32F1;0.007
TrawlPlus;4;32F1;0.002
OTB_DEF_32-69_0_0_all;12;32F1;0.005
OTB_DEF_32-69_0_0_all;1;32F2;0.016
TrawlPlus;1;32F2;0.02
TrawlPlus;2;32F2;0.008
TrawlPlus;4;32F2;0.029
TrawlPlus;5;32F2;0.12
TrawlPlus;10;32F2;0.015
OTB_CRU_70-99_0_0_all;10;34F2;0.01
TrawlPlus;4;34F3;0.44
TrawlPlus;5;34F3;0.56
TrawlPlus;6;34F3;0.446
TrawlPlus;10;34F3;0.017
TrawlPlus;6;34F4;4.808
TrawlPlus;10;35F2;0.013
TrawlPlus;5;35F4;0
TrawlPlus;5;36F2;0.002
OTB_DEF_100-119_0_0;6;36F2;0.002
TrawlPlus;10;36F2;0.059
TrawlPlus;5;36F3;0.002
OTB_DEF_100-119_0_0;6;36F3;0.002
TrawlPlus;5;36F4;0.118
OTB_DEF_100-119_0_0;5;36F5;0.03
TrawlPlus;6;36F5;0.533
TrawlPlus;6;36F6;0.503
TrawlPlus;10;37F0;0.243
TrawlPlus;11;37F0;0.365
TrawlPlus;5;37F3;0.002
TrawlPlus;6;37F3;0.054
OTB_DEF_100-119_0_0;7;37F3;0.014
OTB_DEF_100-119_0_0;9;38F4;0
OTB_DEF_100-119_0_0;9;40F5;0
OTB_DEF_100-119_0_0;9;41F4;0.002
