Country,3A_CODE,spp,Quarter,Month,DIV,SR,Catch_kg
SP,JAX,Trachurus spp,1,1,27.8.a,,11
SP,JAX,Trachurus spp,1,1,27.8.a,22E5,284.88
SP,JAX,Trachurus spp,1,1,27.8.a,23E5,409.22
SP,JAX,Trachurus spp,1,1,27.8.b,15E8,5138.7
SP,JAX,Trachurus spp,1,1,27.8.b,16E8,1542
SP,JAX,Trachurus spp,1,1,27.8.b,17E8,349
SP,JAX,Trachurus spp,1,1,27.8.c,,42528.15
SP,JAX,Trachurus spp,1,1,27.8.c,15E0,18746.5
SP,JAX,Trachurus spp,1,1,27.8.c,15E1,145068.1
SP,JAX,Trachurus spp,1,1,27.8.c,15E4,330.7
SP,JAX,Trachurus spp,1,1,27.8.c,15E5,71534.5
SP,JAX,Trachurus spp,1,1,27.8.c,15E6,14696.7
SP,JAX,Trachurus spp,1,1,27.8.c,15E7,2142.8
SP,JAX,Trachurus spp,1,1,27.8.c,16E1,115472.75
SP,JAX,Trachurus spp,1,1,27.8.c,16E2,30523.8
SP,JAX,Trachurus spp,1,1,27.8.c,16E3,9071.14
SP,JAX,Trachurus spp,1,1,27.8.c,16E4,52296.22
SP,JAX,Trachurus spp,1,1,27.8.c,16E5,777.39
SP,JAX,Trachurus spp,1,1,27.8.c,16E6,2983.02
SP,JAX,Trachurus spp,1,1,27.8.c,16E7,3438.65
SP,JAX,Trachurus spp,1,1,27.8.c,17E1,425
SP,JAX,Trachurus spp,1,1,27.8.c,17E2,910
SP,JAX,Trachurus spp,1,1,27.8.c,17E7,942.29
SP,JAX,Trachurus spp,1,1,27.9.a,,26904.53
SP,JAX,Trachurus spp,1,1,27.9.a,01E3,2105.05
SP,JAX,Trachurus spp,1,1,27.9.a,02E2,905.81
SP,JAX,Trachurus spp,1,1,27.9.a,02E3,3961.93
SP,JAX,Trachurus spp,1,1,27.9.a,03E2,2486.51
SP,JAX,Trachurus spp,1,1,27.9.a,03E3,639.59
SP,JAX,Trachurus spp,1,1,27.9.a,07E0,211.02
SP,JAX,Trachurus spp,1,1,27.9.a,09E0,178.18
SP,JAX,Trachurus spp,1,1,27.9.a,11E0,106
SP,JAX,Trachurus spp,1,1,27.9.a,12E0,36.8
SP,JAX,Trachurus spp,1,1,27.9.a,13E0,144513.49
SP,JAX,Trachurus spp,1,1,27.9.a,13E1,34848.36
SP,JAX,Trachurus spp,1,1,27.9.a,14E0,116421.79
SP,JAX,Trachurus spp,1,1,27.9.a,14E1,18207.6
SP,JAX,Trachurus spp,1,2,27.8.a,,57.5
SP,JAX,Trachurus spp,1,2,27.8.a,22E5,245.36
SP,JAX,Trachurus spp,1,2,27.8.a,23E5,339.64
SP,JAX,Trachurus spp,1,2,27.8.b,,22.5
SP,JAX,Trachurus spp,1,2,27.8.b,15E8,5655.9
SP,JAX,Trachurus spp,1,2,27.8.b,16E8,434
SP,JAX,Trachurus spp,1,2,27.8.b,17E8,17.5
SP,JAX,Trachurus spp,1,2,27.8.b,19E7,257.5
SP,JAX,Trachurus spp,1,2,27.8.b,20E6,115
SP,JAX,Trachurus spp,1,2,27.8.b,20E7,10
SP,JAX,Trachurus spp,1,2,27.8.c,,30954.92
SP,JAX,Trachurus spp,1,2,27.8.c,15E0,28619.46
SP,JAX,Trachurus spp,1,2,27.8.c,15E1,591738.94
SP,JAX,Trachurus spp,1,2,27.8.c,15E5,7909.22
SP,JAX,Trachurus spp,1,2,27.8.c,15E6,46227.7
SP,JAX,Trachurus spp,1,2,27.8.c,15E7,24082
SP,JAX,Trachurus spp,1,2,27.8.c,16E0,461
SP,JAX,Trachurus spp,1,2,27.8.c,16E1,123709.85
SP,JAX,Trachurus spp,1,2,27.8.c,16E2,143034.5
SP,JAX,Trachurus spp,1,2,27.8.c,16E3,6183.7
SP,JAX,Trachurus spp,1,2,27.8.c,16E4,38440.18
SP,JAX,Trachurus spp,1,2,27.8.c,16E5,1164.16
SP,JAX,Trachurus spp,1,2,27.8.c,16E6,22022.24
SP,JAX,Trachurus spp,1,2,27.8.c,16E7,521.61
SP,JAX,Trachurus spp,1,2,27.8.c,17E1,1271.4
SP,JAX,Trachurus spp,1,2,27.8.c,17E7,445.99
SP,JAX,Trachurus spp,1,2,27.9.a,,46770.3
SP,JAX,Trachurus spp,1,2,27.9.a,01E3,25374.38
SP,JAX,Trachurus spp,1,2,27.9.a,01E4,2418.93
SP,JAX,Trachurus spp,1,2,27.9.a,02E2,1485.09
SP,JAX,Trachurus spp,1,2,27.9.a,02E3,34709.78
SP,JAX,Trachurus spp,1,2,27.9.a,03E2,709.95
SP,JAX,Trachurus spp,1,2,27.9.a,03E3,372.13
SP,JAX,Trachurus spp,1,2,27.9.a,06D9,46
SP,JAX,Trachurus spp,1,2,27.9.a,06E0,96
SP,JAX,Trachurus spp,1,2,27.9.a,07D9,92.86
SP,JAX,Trachurus spp,1,2,27.9.a,07E0,185.71
SP,JAX,Trachurus spp,1,2,27.9.a,09E0,111.43
SP,JAX,Trachurus spp,1,2,27.9.a,12E0,1001.6
SP,JAX,Trachurus spp,1,2,27.9.a,13E0,164844.45
SP,JAX,Trachurus spp,1,2,27.9.a,13E1,134215.7
SP,JAX,Trachurus spp,1,2,27.9.a,14E0,478592.47
SP,JAX,Trachurus spp,1,2,27.9.a,14E1,19738.3
SP,JAX,Trachurus spp,1,3,27.7.j.2,30D9,27.94
SP,JAX,Trachurus spp,1,3,27.8.a,21E5,97.4
SP,JAX,Trachurus spp,1,3,27.8.a,21E6,494.49
SP,JAX,Trachurus spp,1,3,27.8.a,21E7,53.8
SP,JAX,Trachurus spp,1,3,27.8.a,22E5,6310.16
SP,JAX,Trachurus spp,1,3,27.8.a,22E6,141
SP,JAX,Trachurus spp,1,3,27.8.a,23E5,948.92
SP,JAX,Trachurus spp,1,3,27.8.b,16E8,30
SP,JAX,Trachurus spp,1,3,27.8.b,17E8,10.14
SP,JAX,Trachurus spp,1,3,27.8.b,18E7,41.04
SP,JAX,Trachurus spp,1,3,27.8.b,19E7,1100.02
SP,JAX,Trachurus spp,1,3,27.8.b,19E8,37.45
SP,JAX,Trachurus spp,1,3,27.8.b,20E6,57.53
SP,JAX,Trachurus spp,1,3,27.8.b,20E7,1264.35
SP,JAX,Trachurus spp,1,3,27.8.c,,19824.09
SP,JAX,Trachurus spp,1,3,27.8.c,15E0,25156.85
SP,JAX,Trachurus spp,1,3,27.8.c,15E1,379335.4
SP,JAX,Trachurus spp,1,3,27.8.c,15E4,530
SP,JAX,Trachurus spp,1,3,27.8.c,15E5,329
SP,JAX,Trachurus spp,1,3,27.8.c,15E6,171.7
SP,JAX,Trachurus spp,1,3,27.8.c,15E7,4577.9
SP,JAX,Trachurus spp,1,3,27.8.c,16E0,5887
SP,JAX,Trachurus spp,1,3,27.8.c,16E1,43657
SP,JAX,Trachurus spp,1,3,27.8.c,16E2,51725.8
SP,JAX,Trachurus spp,1,3,27.8.c,16E3,1736.35
SP,JAX,Trachurus spp,1,3,27.8.c,16E4,15963.8
SP,JAX,Trachurus spp,1,3,27.8.c,16E6,399
SP,JAX,Trachurus spp,1,3,27.8.c,17E1,1398
SP,JAX,Trachurus spp,1,3,27.8.c,17E2,172.4
SP,JAX,Trachurus spp,1,3,27.9.a,,41145.53
SP,JAX,Trachurus spp,1,3,27.9.a,01E2,228.78
SP,JAX,Trachurus spp,1,3,27.9.a,01E3,27399.04
SP,JAX,Trachurus spp,1,3,27.9.a,01E4,11386.3
