Age;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1
1;1.8;4.6;12.6;2.3;12.4;77.2;2.8;71.4;13.5;12.8;13.8;5.8;3.1;1.8;34.2;2.9;7.3;9.5;7.6;15.4;49.7;3.6;20.7;27.4;NA;4.8
2;3.1;13.8;27.2;22.1;31.5;75.8;15.6;21.4;41.9;14.7;73.7;26.5;15;8.9;14.2;22;19.5;24.3;9.9;15.3;23.8;65.2;20.9;49.1;1;59.0
3;7.2;11;14.1;36.7;23.1;29.2;32.5;24.5;24.2;27.8;39.8;58.8;22.3;36.2;29.1;9;72.1;20.3;21.2;8.7;10.1;15.9;62.6;13.2;5.8;24.6
4;10.3;11.9;14.9;38.8;17.6;24.1;16.8;13.9;35.7;14.7;32.6;40.1;82.9;16.8;22.6;15.3;36.4;40.1;22.1;30.2;5.8;9.8;10.2;32.7;3.1;21.0
5;12.1;9.6;14.6;20.8;23.1;33.3;8.3;6.6;30.3;28.1;16.4;67.6;72.5;36.3;17.4;25.2;13.4;25.7;27.1;13.8;7.2;7.7;6;4.5;12.1;2.2
6;13.2;12.5;12.4;12.1;26.2;21.5;10.8;6.5;11.4;21;19.8;23;31.2;36.1;17.1;15.9;9.2;20.8;6;7.1;3.8;5.7;3.4;0.7;2;4.0
7;11.4;8;10.1;14;20.6;16.8;15.7;6.2;7.3;10.9;4.4;12.6;24.3;27.2;22.3;29.4;3.5;3.1;7.2;2.7;3.3;2.5;2.8;0.7;1.8;0.4
8;12.6;6.6;8.6;10.8;21.8;8.7;12.9;11.6;10.7;4;2.4;5.6;17.6;21.9;46.8;5.1;6.8;5;4.2;3.4;1.4;5.1;2.4;NA;1.3;0.1
9;7.3;1.5;2.5;8.3;12.9;9.5;9.9;7;11.8;5.8;2.1;1.2;8.5;10.1;11.1;5.6;3;4.6;4;0.9;1.6;1.2;0.9;NA;4.7;0.3
10;5.9;5.3;0.8;4;8.2;5.6;10;7.7;1.3;12;3.5;1.3;1.7;7.5;9.3;8.6;8.4;1.5;5.4;1;0.9;0.1;0.3;NA;2.8;0.3
11;0;0.3;0.3;2.7;2.1;4.6;9.6;5.9;3.6;6.7;3.8;0.1;1.1;1.9;7.1;2.6;6.1;0.5;3.7;1.3;0.2;0.1;0.5;NA;3.5;0.3
12;8.8;1.3;0.3;0.7;0.4;1.7;5.4;3.4;3.1;5;1.3;1.5;0.2;2.1;3.6;0.3;3.5;0.1;1;0.4;0.9;0.4;0;NA;0.7;0.1
13;0.2;8.9;;1.8;1.4;1.2;3.7;2.4;2.4;6.8;2.7;0.4;0.8;0.4;0.3;0.3;0.4;0;0.6;0;0.2;1.4;0;NA;0.7;0.0
14;4.4;8;1.4;0.3;3.8;0;2;1.4;3.4;2.5;2.1;0.8;0.8;2.4;1;0.2;0.3;0.2;0;0.2;0.2;0.5;0.3;NA;0.3;0.0
15;NA;NA;NA;5.1;4;6.7;5.8;3;3.7;8.8;5.5;0.7;0;1.1;6.1;1.1;0.5;0;0.1;0.1;0;3.1;0.3;NA;7.7;0.0
