;Q1 6a;Q4 6a;Q1 7b;Q2 7b;Q1 7j;Q2 7j;Q1 7e;Q1 7g;Q4 7g;Q3 7d;Q4 7d;Q4 7f;Q3 4a
5;;;;;;;;;;;;;
6;;;;;;;;;;;;;
7;;;;;;;;;;;;;
8;;;;;;;;;;;;;
9;;;;;;;;;;;;;
10;;;;;;;;;;;;;
11;;;;;;;;;;;;;
12;;;;;;;;;;;;;
13;;;;;;;;;;;;;
14;;;;;;;;;;;;;
15;;;;;;;;;;;;;
16;;;;;;;;;;;;;
17;;;;;;;;;;;;;
18;;;;;;;;3.514622436;;;123.1173601;;
19;;;;;;;0.267064846;3.514622436;;;527.6425169;85.27316535;
20;;;;;;;0.40059727;24.7852742;826.4818952;2833.232143;1352.790718;747.7800654;
21;1223.004652;;;;;;0.40059727;22.60333388;3022.621287;7791.388393;3735.95588;1360.041393;
22;1249.07885;;;;;;0.40059727;33.9964594;2273.237703;4958.15625;4549.082337;610.1622955;
23;26.07419755;;;;33.33086041;;0.801194539;13.39214869;2071.960862;2124.924107;1988.400092;639.8111191;
24;3543.696107;;;;67.10026465;;0.534129693;10.54386731;1631.308015;;4013.99728;463.8860195;
25;1228.866293;65.89295802;;0.007779989;34.71964626;;0.267064846;9.87752625;602.0118124;;3091.397363;206.7546286;
26;2601.949176;;358.5839967;0.023339967;191.2951154;;0.267064846;12.05946657;165.5963725;;1104.691771;102.8525564;
27;6368.85342;255.7891993;755.6176608;0.038899946;985.9114958;49.58623596;;12.72580763;82.79818624;;392.9158422;25.18838115;
28;4447.078733;1601.091052;3928.313803;0.023339967;1850.626028;99.17247191;;12.05946657;;;347.4395863;51.42627818;0.001176309
29;658.6481154;1204.584033;1665.033991;0.015559978;1883.861566;148.7587079;;;;;37.2829972;;0.007857743
30;1615.554464;821.3058327;1200.548488;0.015559978;1650.002919;148.7587079;;;;;37.2829972;;0.015715485
31;237.8929989;429.0716634;427.5970404;0.031119957;740.3021023;99.17247191;;;;;;;0.016891794
32;118.1028449;117.3034515;40.01087234;0.007779989;645.2998393;99.17247191;;;;;;;0.009128156
33;119.790154;117.3034515;378.5894329;0.007779989;351.8671094;148.7587079;;;;;;;0.002258513
34;44.97293764;;378.5894329;;481.2107813;198.3449438;;;;;;;0.001082204
35;;;183.4605243;;301.9758059;99.17247191;;;;;;;
36;66.83325662;;387.5861681;;164.372316;99.17247191;;;;;;;
37;;;;0.007779989;190.6739269;;;;;;;;
38;;;;0.007779989;68.05159165;;;;;;;;
39;;;9.447496011;;59.54250012;;;;;;;;
40;;;;;;;;;;;;;
41;;;;;;;;;;;;;
42;;;;;;;;;;;;;
43;;;;;;;;;;;;;
44;;;;;;;;;;;;;
45;;;;;;;;;;;;;
46;;;;;;;;;;;;;
47;;;;;;;;;;;;;
48;;;;;;;;;;;;;
49;;;;;;;;;;;;;
50;;;;;;;;;;;;;
51;;;;;;;;;;;;;
52;;;;;;;;;;;;;
53;;;;;;;;;;;;;
54;;;;;;;;;;;;;
55;;;;;;;;;;;;;
56;;;;;;;;;;;;;
57;;;;;;;;;;;;;
58;;;;;;;;;;;;;
59;;;;;;;;;;;;;
60;;;;;;;;;;;;;
61;;;;;;;;;;;;;
62;;;;;;;;;;;;;
63;;;;;;;;;;;;;
64;;;;;;;;;;;;;
65;;;;;;;;;;;;;
66;;;;;;;;;;;;;
67;;;;;;;;;;;;;
68;;;;;;;;;;;;;
69;;;;;;;;;;;;;
70;;;;;;;;;;;;;
71;;;;;;;;;;;;;
