"species","area","year","quarter","division","length","count","catchnumber","prop"
"hom","27",2017,1,"27.6.a",24,17,58520,0.0051
"hom","27",2017,1,"27.6.a",25,13,63410,0.0055
"hom","27",2017,1,"27.6.a",26,43,212519,0.0185
"hom","27",2017,1,"27.6.a",27,94,295748,0.0258
"hom","27",2017,1,"27.6.a",28,160,524597,0.0457
"hom","27",2017,1,"27.6.a",29,255,917642,0.0799
"hom","27",2017,1,"27.6.a",30,464,1817936,0.1583
"hom","27",2017,1,"27.6.a",31,323,1249689,0.1088
"hom","27",2017,1,"27.6.a",32,678,2782982,0.2423
"hom","27",2017,1,"27.6.a",33,389,1341106,0.1168
"hom","27",2017,1,"27.6.a",34,322,1252162,0.109
"hom","27",2017,1,"27.6.a",35,132,500256,0.0436
"hom","27",2017,1,"27.6.a",36,65,196242,0.0171
"hom","27",2017,1,"27.6.a",37,48,136906,0.0119
"hom","27",2017,1,"27.6.a",38,23,79768,0.0069
"hom","27",2017,1,"27.6.a",39,12,28689,0.0025
"hom","27",2017,1,"27.6.a",40,5,21278,0.0019
"hom","27",2017,1,"27.6.a",41,2,5224,5e-04
"hom","27",2017,1,"27.7.b",17,1,561,1e-04
"hom","27",2017,1,"27.7.b",18,1,561,1e-04
"hom","27",2017,1,"27.7.b",19,38,65920,0.0069
"hom","27",2017,1,"27.7.b",20,93,154275,0.0162
"hom","27",2017,1,"27.7.b",21,169,270336,0.0284
"hom","27",2017,1,"27.7.b",22,162,277242,0.0291
"hom","27",2017,1,"27.7.b",23,73,134019,0.0141
"hom","27",2017,1,"27.7.b",24,66,131374,0.0138
"hom","27",2017,1,"27.7.b",25,76,171554,0.018
"hom","27",2017,1,"27.7.b",26,85,154627,0.0162
"hom","27",2017,1,"27.7.b",27,161,326422,0.0342
"hom","27",2017,1,"27.7.b",28,205,579721,0.0608
"hom","27",2017,1,"27.7.b",29,381,1211337,0.1271
"hom","27",2017,1,"27.7.b",30,459,1422519,0.1492
"hom","27",2017,1,"27.7.b",31,419,1395467,0.1464
"hom","27",2017,1,"27.7.b",32,426,1426394,0.1496
"hom","27",2017,1,"27.7.b",33,323,944422,0.0991
"hom","27",2017,1,"27.7.b",34,148,472906,0.0496
"hom","27",2017,1,"27.7.b",35,83,231586,0.0243
"hom","27",2017,1,"27.7.b",36,36,91129,0.0096
"hom","27",2017,1,"27.7.b",37,17,48121,0.005
"hom","27",2017,1,"27.7.b",38,6,17659,0.0019
"hom","27",2017,1,"27.7.b",39,2,6076,6e-04
"hom","27",2017,1,"27.7.c",27,1,884,9e-04
"hom","27",2017,1,"27.7.c",28,54,43825,0.0465
"hom","27",2017,1,"27.7.c",29,59,72197,0.0766
"hom","27",2017,1,"27.7.c",30,54,74697,0.0792
"hom","27",2017,1,"27.7.c",31,68,108698,0.1153
"hom","27",2017,1,"27.7.c",32,99,160837,0.1706
"hom","27",2017,1,"27.7.c",33,108,212231,0.2251
"hom","27",2017,1,"27.7.c",34,74,151238,0.1604
"hom","27",2017,1,"27.7.c",35,29,42171,0.0447
"hom","27",2017,1,"27.7.c",36,28,40759,0.0432
"hom","27",2017,1,"27.7.c",37,17,15145,0.0161
"hom","27",2017,1,"27.7.c",38,10,10433,0.0111
"hom","27",2017,1,"27.7.c",39,4,2622,0.0028
"hom","27",2017,1,"27.7.c",40,4,2370,0.0025
"hom","27",2017,1,"27.7.c",41,3,4856,0.0051
"hom","27",2017,1,"27.7.d",17,1,4510,0.0013
"hom","27",2017,1,"27.7.d",18,3,15435,0.0044
"hom","27",2017,1,"27.7.d",19,10,37834,0.0108
"hom","27",2017,1,"27.7.d",20,43,185132,0.0527
"hom","27",2017,1,"27.7.d",21,129,514438,0.1465
"hom","27",2017,1,"27.7.d",22,176,644333,0.1835
"hom","27",2017,1,"27.7.d",23,126,426858,0.1216
"hom","27",2017,1,"27.7.d",24,90,333827,0.0951
"hom","27",2017,1,"27.7.d",25,115,363706,0.1036
"hom","27",2017,1,"27.7.d",26,117,347206,0.0989
"hom","27",2017,1,"27.7.d",27,102,316635,0.0902
"hom","27",2017,1,"27.7.d",28,56,162835,0.0464
"hom","27",2017,1,"27.7.d",29,27,97956,0.0279
"hom","27",2017,1,"27.7.d",30,12,37831,0.0108
"hom","27",2017,1,"27.7.d",31,5,18089,0.0052
"hom","27",2017,1,"27.7.d",32,1,4510,0.0013
"hom","27",2017,1,"27.7.j",19,1,2318,0.1428
"hom","27",2017,1,"27.7.j",20,2,4636,0.2857
"hom","27",2017,1,"27.7.j",21,1,2318,0.1428
"hom","27",2017,1,"27.7.j",22,3,6955,0.4286
"hom","27",2017,2,"27.7.b",19,1,470,0.0455
"hom","27",2017,2,"27.7.b",20,7,3290,0.3182
"hom","27",2017,2,"27.7.b",21,4,1880,0.1818
"hom","27",2017,2,"27.7.b",22,2,940,0.0909
"hom","27",2017,2,"27.7.b",23,2,940,0.0909
"hom","27",2017,2,"27.7.b",34,1,470,0.0455
"hom","27",2017,2,"27.7.b",35,1,470,0.0455
"hom","27",2017,2,"27.7.b",36,4,1880,0.1818
"hom","27",2017,2,"27.7.j",19,2,1391,0.0024
"hom","27",2017,2,"27.7.j",20,1,428,7e-04
"hom","27",2017,2,"27.7.j",24,2,9134,0.0158
"hom","27",2017,2,"27.7.j",25,10,7920,0.0137
"hom","27",2017,2,"27.7.j",26,20,28551,0.0494
"hom","27",2017,2,"27.7.j",27,43,41421,0.0716
"hom","27",2017,2,"27.7.j",28,57,64199,0.111
"hom","27",2017,2,"27.7.j",29,60,73558,0.1272
"hom","27",2017,2,"27.7.j",30,44,66552,0.1151
"hom","27",2017,2,"27.7.j",31,50,60009,0.1038
"hom","27",2017,2,"27.7.j",32,64,80241,0.1388
"hom","27",2017,2,"27.7.j",33,47,58779,0.1017
"hom","27",2017,2,"27.7.j",34,32,55381,0.0958
"hom","27",2017,2,"27.7.j",35,18,20678,0.0358
"hom","27",2017,2,"27.7.j",36,6,9908,0.0171
"hom","27",2017,4,"27.6.a",20,14,9119,0.0022
"hom","27",2017,4,"27.6.a",21,234,326924,0.0773
"hom","27",2017,4,"27.6.a",22,419,696515,0.1646
"hom","27",2017,4,"27.6.a",23,431,908964,0.2148
"hom","27",2017,4,"27.6.a",24,283,1055782,0.2495
"hom","27",2017,4,"27.6.a",25,194,630564,0.149
"hom","27",2017,4,"27.6.a",26,93,127021,0.03
"hom","27",2017,4,"27.6.a",27,78,93572,0.0221
"hom","27",2017,4,"27.6.a",28,106,116260,0.0275
"hom","27",2017,4,"27.6.a",29,79,87019,0.0206
"hom","27",2017,4,"27.6.a",30,54,60115,0.0142
"hom","27",2017,4,"27.6.a",31,34,30920,0.0073
"hom","27",2017,4,"27.6.a",32,44,27013,0.0064
"hom","27",2017,4,"27.6.a",33,44,26741,0.0063
"hom","27",2017,4,"27.6.a",34,37,20951,0.005
"hom","27",2017,4,"27.6.a",35,16,9608,0.0023
"hom","27",2017,4,"27.6.a",36,6,3262,8e-04
"hom","27",2017,4,"27.6.a",37,1,936,2e-04
"hom","27",2017,4,"27.7.c",21,2,621,0.0032
"hom","27",2017,4,"27.7.c",22,3,932,0.0047
"hom","27",2017,4,"27.7.c",23,11,3420,0.0174
"hom","27",2017,4,"27.7.c",24,25,7774,0.0395
"hom","27",2017,4,"27.7.c",25,11,3420,0.0174
"hom","27",2017,4,"27.7.c",26,26,14012,0.0711
"hom","27",2017,4,"27.7.c",27,34,15646,0.0794
"hom","27",2017,4,"27.7.c",28,46,26621,0.1351
"hom","27",2017,4,"27.7.c",29,57,26240,0.1332
"hom","27",2017,4,"27.7.c",30,57,28696,0.1456
"hom","27",2017,4,"27.7.c",31,16,9111,0.0462
"hom","27",2017,4,"27.7.c",32,1,3760,0.0191
"hom","27",2017,4,"27.7.c",33,6,10547,0.0535
"hom","27",2017,4,"27.7.c",34,21,17750,0.0901
"hom","27",2017,4,"27.7.c",35,26,11380,0.0578
"hom","27",2017,4,"27.7.c",36,25,13572,0.0689
"hom","27",2017,4,"27.7.c",37,9,2923,0.0148
