Column1,Column2,Column3,Column4,Column5,Column6,Column7
Mean Length at Age by Area (in mm),,,,,,
----------------------------------,,,,,,
For Period,All periods,,,,,
,,,,,,
Ages,27.3.a.nshm,27.4.a.nshm,27.4.b,27.4.c,27.7.d,Total
0,150.5,150.5,150.5,150.5,150.5,150.5
1,195.1,195.1,195.1,195.1,195.1,195.1
2,221.9,221.9,221.9,221.9,221.9,221.9
3,246.7,246.7,246.7,246.7,246.7,246.7
4,255.8,255.8,255.8,255.8,255.8,255.8
5,267.8,267.8,267.8,267.8,267.8,267.8
6,275,275,275,275,275,275
7,280.4,280.4,280.4,280.4,280.4,280.4
