Age,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,0.076,0.107,0.063,0.063,0.063,0.075,0.067,0.066,0.074,0.076,0.07,0.074,0.0615,0.063,0.074,0.077,0.06,0.069,0.077,0.078,0.062,0.07,0.06,0.061
2,0.126,0.123,0.102,0.102,0.102,0.1,0.09,0.096,0.105,0.105,0.087,0.098,0.081,0.096,0.087,0.101,0.092,0.09,0.099,0.11,0.099,0.093,0.086,0.093
3,0.125,0.143,0.126,0.126,0.126,0.137,0.094,0.129,0.122,0.122,0.104,0.116,0.104,0.109,0.113,0.118,0.096,0.118,0.112,0.113,0.13,0.115,0.113,0.131
4,0.133,0.156,0.142,0.142,0.142,0.152,0.117,0.155,0.136,0.146,0.133,0.124,0.115,0.125,0.134,0.137,0.115,0.142,0.138,0.135,0.15,0.126,0.131,0.147
5,0.146,0.177,0.16,0.16,0.16,0.165,0.159,0.171,0.164,0.174,0.159,0.141,0.13,0.145,0.151,0.155,0.145,0.152,0.166,0.144,0.169,0.158,0.173,0.17
6,0.164,0.187,0.175,0.175,0.175,0.192,0.183,0.195,0.18,0.198,0.197,0.178,0.163,0.16,0.182,0.183,0.166,0.172,0.18,0.177,0.196,0.155,0.189,0.189
7,0.161,0.203,0.199,0.199,0.199,0.194,0.198,0.216,0.193,0.224,0.238,0.212,0.192,0.193,0.195,0.206,0.193,0.183,0.2,0.184,0.26,0.162,0.177,0.201
8,0.178,0.195,0.231,0.231,0.231,0.216,0.201,0.227,0.212,0.229,0.248,0.247,0.197,0.221,0.258,0.199,0.193,0.188,0.216,0.201,0.29,0.235,0.188,NA
9,0.165,0.218,0.25,0.25,0.25,0.244,0.237,0.228,0.24,0.256,0.259,0.236,0.257,0.286,0.253,0.241,0.305,0.212,0.223,0.222,0.265,0.246,0.222,NA
10,0.173,0.241,0.259,0.259,0.259,0.283,0.246,0.253,0.269,0.29,0.287,0.286,0.255,0.296,0.322,0.227,0.334,0.204,0.226,0.22,0.312,0.359,0.233,NA
11,0.317,0.307,0.3,0.3,0.3,0.286,0.26,0.303,0.24,0.3,0.335,0.237,0.517,0.273,0.422,0.284,0.345,0.275,0.242,0.264,0.262,0.369,0.257,NA
12,0.233,0.211,0.329,0.329,0.329,0.354,0.286,0.293,0.298,0.297,0.349,0.261,0.279,0.309,0.447,0.234,0.408,0.195,0.263,0.287,0.318,0.379,NA,NA
13,0.241,0.258,0.367,0.367,0.367,0.316,0.287,0.317,0.356,0.301,0.338,0.267,0.339,0.375,0.383,0.288,0.474,NA,0.262,0.252,0.351,0.242,NA,NA
14,0.348,0.277,0.299,0.299,0.299,NA,0.295,0.32,0.316,0.338,0.373,0.302,0.414,0.277,0.362,0.315,0.415,0.187,0.559,0.408,0.235,0.39,0.214,NA
15,0.348,0.277,0.36,0.36,0.36,0.35,0.336,0.39,0.353,0.402,0.375,0.404,0,0.389,0.46,0.351,0.475,0,0.339,0.273,0,0.378,0.26,NA
